Time Done Counter ack_out a_out_h a_out_l
2269759 0 802 0 11045705 1478724808
2269761 0 804 1 0 0
2288261 0 804 0 11051851 136555720
2288263 0 806 1 0 0
2295199 0 806 0 11052818 3502384230
2295201 0 808 1 0 0
2301725 0 808 0 11052896 3491895595
2301727 0 810 1 0 0
2303547 0 810 0 11053331 107228295
2303549 0 812 1 0 0
2309209 0 812 0 11053401 281091174
2309211 0 814 1 0 0
2314605 0 814 0 11053857 3334545609
2314607 0 816 1 0 0
2316025 0 816 0 11053873 79957225
2316027 0 818 1 0 0
2321105 0 818 0 11053899 136547528
2321107 0 820 1 0 0
2322219 0 820 0 11059787 106179719
2322221 0 822 1 0 0
2322611 0 822 0 11059787 108145925
2322613 0 824 1 0 0
2329387 0 824 0 11060042 3357775240
2329389 0 826 1 0 0
2330063 0 826 0 11060042 3494981860
2330065 0 828 1 0 0
2333593 0 828 0 11060057 3626147977
2333595 0 830 1 0 0
2352497 0 830 0 11062041 1377967496
2352499 0 832 1 0 0
2363701 0 832 0 11067939 280136905
2363703 0 834 1 0 0
2368231 0 834 0 11067969 1486198912
2368233 0 834 1 0 0
2372889 0 834 0 11068001 1353848937
2372891 0 836 1 0 0
2373609 0 836 0 11068002 1278389508
2373611 0 838 1 0 0
